,Annee2,Universite1,Universite2,Nom,Lat1,Long1,Lat2,Long2
0,1985,Clermont-Ferrand 2,Dijon,1,45.77056,3.08791,47.31274,5.06637
1,1985,Lyon 1,"Lyon, INSA",1,45.77962,4.86518,45.783,4.87798
2,1985,Lyon 2,Paris 7,1,45.7492,4.83714,48.851906,2.340105
3,1985,Nice,Paris 11,1,43.71693,7.26664,48.70997,2.1531
4,1985,"Palaiseau, Ecole polytechnique",Universite Louis Pasteur (Strasbourg),1,48.71317,2.21022,48.57872,7.76465
5,1985,Paris 1,Montpellier 2,1,48.8468,2.34488,43.61583,3.87203
6,1985,Paris 1,Nice,1,48.8468,2.34488,43.71693,7.26664
7,1985,Paris 10,Paris 11,1,48.90245,2.21238,48.70997,2.1531
8,1985,Paris 10,Universite Louis Pasteur (Strasbourg),1,48.90245,2.21238,48.57872,7.76465
9,1985,Paris 11,Nantes,1,48.70997,2.1531,47.2097,-1.55587
10,1985,Paris 4,Paris 9,1,48.851304,2.340246,48.85464,2.33785
11,1985,Poitiers,Paris 7,1,46.58596,0.34601,48.851906,2.340105
12,1985,"Toulouse, INPT",Lille 1,1,43.56287,1.46597,50.6314,3.07497
13,1985,Universite Louis Pasteur (Strasbourg),Lyon 1,1,48.57872,7.76465,45.77962,4.86518
14,1985,Universite Louis Pasteur (Strasbourg),Paris 4,1,48.57872,7.76465,48.851304,2.340246
15,1985,Universite Louis Pasteur (Strasbourg),Strasbourg 1,1,48.57872,7.76465,48.57872,7.76465
16,1986,Aix-Marseille 2,Paris 6,1,43.2935,5.35781,48.851304,2.340246
17,1986,Besancon,Rennes 1,1,47.2408,6.02265,48.11585,-1.67298
18,1986,Clermont-Ferrand 2,Paris 11,1,45.77056,3.08791,48.70997,2.1531
19,1986,Dijon,Nantes,1,47.31274,5.06637,47.2097,-1.55587
20,1986,La Rochelle,Lyon 1,1,46.14774,-1.15504,45.77962,4.86518
21,1986,Lyon 1,Universite Louis Pasteur (Strasbourg),1,45.77962,4.86518,48.57872,7.76465
22,1986,Lyon 2,Paris 7,1,45.7492,4.83714,48.851906,2.340105
23,1986,Montpellier 1,Lille 1,1,43.61583,3.87203,50.6314,3.07497
24,1986,Montpellier 1,Lyon 1,1,43.61583,3.87203,45.77962,4.86518
25,1986,Montpellier 2,Universite Louis Pasteur (Strasbourg),1,43.61583,3.87203,48.57872,7.76465
26,1986,Nancy 1,Universite Louis Pasteur (Strasbourg),1,48.6962,6.17634,48.57872,7.76465
27,1986,Nancy 2,Universite Nancy 2,1,48.6962,6.17634,48.6962,6.17634
28,1986,Nantes,Paris 7,1,47.2097,-1.55587,48.851906,2.340105
29,1986,Paris 1,Universite Louis Pasteur (Strasbourg),1,48.8468,2.34488,48.57872,7.76465
30,1986,Paris 2,Paris 7,1,48.8468,2.34488,48.851906,2.340105
31,1986,Paris 3,Nice,1,48.8489,2.34313,43.71693,7.26664
32,1986,Paris 4,Clermont-Ferrand 2,1,48.851304,2.340246,45.77056,3.08791
33,1986,Paris 4,Paris 5,1,48.851304,2.340246,48.851906,2.340105
34,1986,Paris 4,Paris 9,1,48.851304,2.340246,48.85464,2.33785
35,1986,Paris 5,Montpellier 3,1,48.851906,2.340105,43.63279,3.86924
36,1986,Paris 5,Paris 11,1,48.851906,2.340105,48.70997,2.1531
37,1986,Paris 6,Paris 4,1,48.851304,2.340246,48.851304,2.340246
38,1986,Paris 8,paris 8,1,48.946,2.36213,48.946,2.36213
39,1986,"Paris, Institut d'etudes politiques",Lyon 1,1,48.85412,2.32842,45.77962,4.86518
40,1986,"Toulouse, INSA",Besancon,1,43.56287,1.46597,47.2408,6.02265
41,1986,Universite Louis Pasteur (Strasbourg),Nantes,1,48.57872,7.76465,47.2097,-1.55587
42,1986,Universite Louis Pasteur (Strasbourg),Paris 3,1,48.57872,7.76465,48.8489,2.34313
43,1986,Universite de Marne-la-Vallee,Universite Louis Pasteur (Strasbourg),1,48.6962,6.17634,48.57872,7.76465
44,1987,Aix-Marseille 2,Paris 6,1,43.2935,5.35781,48.851304,2.340246
45,1987,Amiens,Paris 11,1,49.87584,2.26446,48.70997,2.1531
46,1987,Bordeaux 2,Lyon 1,1,44.809966,-0.596578,45.77962,4.86518
47,1987,Clermont-Ferrand 1,Paris 9,1,45.77056,3.08791,48.85464,2.33785
48,1987,"Ecully, Ecole centrale de Lyon",Paris 6,1,45.78299,4.76927,48.851304,2.340246
49,1987,Lille 1,Paris 12,1,50.6314,3.07497,48.78852,2.4437
50,1987,Lille 1,Universite Paris-Est Creteil Val de Marne (UPEC),1,50.6314,3.07497,48.78852,2.4437
51,1987,Lille 3,Clermont-Ferrand 2,1,50.6314,3.07497,45.77056,3.08791
52,1987,Limoges,Nancy 2,1,45.8263,1.25917,48.6962,6.17634
53,1987,Lyon,Saint-Etienne,1,48.57872,7.76465,45.42472,4.39264
54,1987,Lyon 1,Rennes 1,1,45.77962,4.86518,48.11585,-1.67298
55,1987,Lyon 1,Toulouse 3,1,45.77962,4.86518,43.56287,1.46597
56,1987,Lyon 3,Paris 11,1,45.747027,4.860547,48.70997,2.1531
57,1987,Montpellier 1,"Ecully, Ecole centrale de Lyon",1,43.61583,3.87203,45.78299,4.76927
58,1987,Montpellier 1,Nancy 1,1,43.61583,3.87203,48.6962,6.17634
59,1987,Montpellier 1,Toulon,1,43.61583,3.87203,43.1369,6.01684
60,1987,Montpellier 3,Besancon,1,43.63279,3.86924,47.2408,6.02265
61,1987,Nancy 1,Montpellier 3,1,48.6962,6.17634,43.63279,3.86924
62,1987,Nancy 1,Rennes 1,1,48.6962,6.17634,48.11585,-1.67298
63,1987,Paris 1,Grenoble 2,1,48.8468,2.34488,45.19159,5.76726
64,1987,Paris 1,Lyon 2,1,48.8468,2.34488,45.7492,4.83714
65,1987,Paris 10,Paris 7,1,48.90245,2.21238,48.851906,2.340105
66,1987,Paris 11,Lyon 1,1,48.70997,2.1531,45.77962,4.86518
67,1987,Paris 3,Paris 4,1,48.8489,2.34313,48.851304,2.340246
68,1987,Paris 4,Lyon 1,1,48.851304,2.340246,45.77962,4.86518
69,1987,Paris 4,Paris 3,1,48.851304,2.340246,48.8489,2.34313
70,1987,Paris 5,Lyon 1,1,48.851906,2.340105,45.77962,4.86518
71,1987,Paris 5,Paris 6,1,48.851906,2.340105,48.851304,2.340246
72,1987,Paris 7,Aix-Marseille 2,1,48.851906,2.340105,43.2935,5.35781
73,1987,Paris 8,Universite Pierre Mendes France (Grenoble),1,48.946,2.36213,45.19159,5.76726
74,1987,Poitiers,Lyon 1,1,46.58596,0.34601,45.77962,4.86518
75,1987,Rennes 1,Paris 8,1,48.11585,-1.67298,48.946,2.36213
76,1987,Strasbourg 1,Dijon,1,48.57872,7.76465,47.31274,5.06637
77,1987,Toulouse 3,Aix-Marseille 2,1,43.56287,1.46597,43.2935,5.35781
78,1987,Toulouse 3,Dijon,1,43.56287,1.46597,47.31274,5.06637
79,1987,Toulouse 3,Paris 11,1,43.56287,1.46597,48.70997,2.1531
80,1987,Toulouse 3,"Vandoeuvre-les-Nancy, INPL",1,43.56287,1.46597,48.6962,6.17634
81,1987,Universite Louis Pasteur (Strasbourg),Lyon 1,1,48.57872,7.76465,45.77962,4.86518
82,1987,Universite Louis Pasteur (Strasbourg),Paris 4,1,48.57872,7.76465,48.851304,2.340246
83,1987,Universite Louis Pasteur (Strasbourg),Rennes 1,1,48.57872,7.76465,48.11585,-1.67298
84,1988,Aix-Marseille 1,Aix-Marseille 2,1,43.2935,5.35781,43.2935,5.35781
85,1988,Aix-Marseille 1,Aix-Marseille 3,1,43.2935,5.35781,43.2935,5.35781
86,1988,Aix-Marseille 2,Nice,1,43.2935,5.35781,43.71693,7.26664
87,1988,Besancon,Universite Stendhal (Grenoble),1,47.2408,6.02265,45.19159,5.76726
88,1988,Bordeaux 1,Paris 1,1,44.809966,-0.596578,48.8468,2.34488
89,1988,Bordeaux 2,Lyon 1,1,44.809966,-0.596578,45.77962,4.86518
90,1988,Bordeaux 2,Paris 5,1,44.809966,-0.596578,48.851906,2.340105
91,1988,Bordeaux 2,Toulouse 3,1,44.809966,-0.596578,43.56287,1.46597
92,1988,Bordeaux 3,Bordeaux 2,2,44.8015,-0.615058,44.809966,-0.596578
93,1988,Caen,Paris 5,1,49.18884,-0.36382,48.851906,2.340105
