author,geos
Directeur de these inconnu,"['0,0', '43.71693,7.26664', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '47.31274,5.06637', '47.31274,5.06637', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '43.71693,7.26664', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.57872,7.76465', '44.809966,-0.596578', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '48.70997,2.1531', '48.70997,2.1531', '48.57872,7.76465', '48.6962,6.17634', '48.70997,2.1531', '48.70997,2.1531', '43.71693,7.26664', '48.6962,6.17634', '48.57872,7.76465', '48.6962,6.17634', '48.851906,2.340105', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '43.71693,7.26664', '48.6962,6.17634', '43.71693,7.26664', '44.809966,-0.596578', '44.809966,-0.596578']"
C. Carrez,"['0,0', '50.6314,3.07497']"
Roger Fayolle,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Daniel-Henri Pageaux,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Francoise Denoyer,"['0,0', '48.70997,2.1531']"
Henri Pacheco,"['0,0', '45.77962,4.86518', '45.77962,4.86518']"
Francois Lebrun,"['0,0', '48.12064,-1.70333', '48.12064,-1.70333', '48.12064,-1.70333', '48.12064,-1.70333']"
Claude Bardos,"['0,0', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071']"
Marie-Therese Chalumeau,"['0,0', '48.95793,2.34071']"
Michel Fontanille,"['0,0', '48.95793,2.34071']"
