"Nom","Universite1","Universite2","Annee1","Annee2"
"Abdallah Cheikh-Moussa","Paris 3","Paris 4",1997,2003
"Abdallah Hamze","Montpellier 1","Paris 11",2003,2014
"Abdel Aouacheria","Lyon 1","Lyon",2002,2016
"Abdel Ghoumari","Paris 5","Paris 11",1998,2011
"Abdel-Ilah Lisser","Paris 9","Paris 11",1987,2007
"Abdel-Ouahab Boudraa","Lyon 1","Brest",1994,2014
"Abdelghani Zeghib","Dijon","Lyon, Ecole normale superieure",1985,2014
"Abdelhafid Elouardi","Paris 11","Universite Paris-Saclay (ComUE)",2005,2018
"Abdelilah Wakkach","Paris 5","Nice",1998,2012
"Abdelkader Mokkadem","Paris 11","Versailles-St Quentin en Yvelines",1987,2003
"Abdellah Arhaliass","Toulouse, INPT","Nantes",1994,2005
"Abdellah El Moudni","Lille 1","Besancon",1985,1998
"Abdelmajid Amine","Paris 1","Universite Paris-Est Creteil Val de Marne (UPEC)",1990,2006
"Abdelouahab Khelil","Vandoeuvre-les-Nancy, INPL","Nancy 1",1989,2008
"Abdelouahad Chbihi","Lyon 1","Caen",1987,2008
"Abdelwahab Biad","Universite Pierre Mendes France (Grenoble)","Rouen",1986,2009
"Abdelwahab Meddeb","Aix-Marseille 1","Paris 10",1990,2011
"Abdenbi Lachkar","Montpellier 3","Lyon",2004,2017
"Abderrahim Mamouni","Lyon 1","Lille 1",1989,1996
"Abderrahman El Bakali","Orleans","Lille 1",1996,2014
"Abderrahmane Ziad","Saint-Etienne","Caen",1996,2008
"Abderrazzak El Albani","Lille 1","Poitiers",1995,2010
"Abdul Hamid Soubra","Lyon, INSA","Nantes",1989,2012
"Abraham Escobar-Gutierrez","Poitiers","Angers",1995,2012
"Ada Savin","Paris 7","Universite Paris-Saclay (ComUE)",1991,2017
"Ada Savin","Paris 7","Paris Saclay",1991,2017
"Adel Ben Youssef","Nice","Paris 11",1997,2010
"Adel Bilal","Paris 11","Paris Sciences et Lettres",1988,2016
"Adele Martial","Vandoeuvre-les-Nancy, INPL","Lyon 1",1991,2005
"Adlen Ksentini","Cergy-Pontoise","Rennes 1",2005,2018
"Adrien Wanko Ngnien","Strasbourg 1","Strasbourg",2005,2018
"Afshin Gangi","Strasbourg 1","Universite Louis Pasteur (Strasbourg)",1991,1995
"Agathe Lepage","Paris 11","Paris 2",1998,2016
"Agathe Van Lang","Rennes 1","La Rochelle",1992,2011
"Agnes Baderou","Montpellier 1","Montpellier 2",1988,2011
"Agnes Bernet","Lyon 1","Lyon",1994,2018
"Agnes Bonnet","Aix-Marseille 1","Aix-Marseille",2005,2012
"Agnes Deboulet","Paris 12","Paris 10",1994,2015
"Agnes Gautheret-Dejean","Paris 5","Paris 7",1993,2005
"Agnes Granier","Lyon 1","Nantes",1992,2000
"Agnes Guillot","Nancy 2","Paris 6",1997,2003
"Agnes Michelot","Dijon","La Rochelle",1997,2013
"Agnes Paradas","Montpellier 1","Montpellier",1993,2017
"Agnes Perrin","Lyon 1","Paris 11",1991,2001
"Agnes Robin","Montpellier 1","Montpellier",2001,2016
"Agnes Verlet","Paris 3","Aix-Marseille 1",2000,2010
"Ahmed Bouamrane","Lyon 1","Lyon, INSA",1989,2000
"Ahmed Mebarki","Toulouse 3","Universite de Marne-la-Vallee",1990,2002
"Ahmed Rahmani","Clermont-Ferrand 2","Ecole centrale de Lille",1988,2013
"Ahmed Serhrouchni","Paris 6","Paris, ENST",1990,2003
"Aime Mucci","Lyon 3","Toulouse 2",1988,1997
"Akrum Abdul-Latif","Compiegne","Troyes",1994,2005
"Alain Arnaud","Toulouse 3","Aix-Marseille 2",1988,1990
"Alain Beraud","Brest","Cergy-Pontoise",1993,2002
"Alain Berger","Paris 6","Montpellier 1",1990,1992
"Alain Bernard","Paris 5","Lyon 1",1994,1994
"Alain Bertho","Nantes","Paris 8",1994,2015
"Alain Bertrand","Paris 4","Bordeaux 2",2000,2002
"Alain Bery","Paris 7","Paris 8",1990,2011
"Alain Billault","Paris 4","Lyon 3",1987,2003
"Alain Blanc","Paris 4","Grenoble 2",1987,2003
"Alain Bonardi","Paris 4","Paris 8",2000,2017
"Alain Bonnet","Paris 10","Paris 11",1993,1985
"Alain Bosseboeuf","Paris 11","Paris 6",1989,2002
"Alain Bouchet","Poitiers","Lyon 1",1987,1987
"Alain Bourdillon","Paris 6","Rennes 1",1991,1997
"Alain Boutot","Paris 4","Grenoble 2",1985,1994
"Alain Brauman","Aix-Marseille 2","Montpellier 2",1989,2012
"Alain Bravaix","Paris 7","Aix-Marseille",1991,2012
"Alain Burtscher","Universite Louis Pasteur (Strasbourg)","Strasbourg 1",1985,1989
"Alain Cabantous","Lille 3","Paris 1",1987,2003
"Alain Chenu","Paris 6","Paris, Institut d'etudes politiques",2012,2012
"Alain Clement","Lyon 2","Nantes",1997,2002
"Alain Clerivet","Compiegne","Montpellier 2",1986,2002
"Alain Crochet","Paris 1","Paris 3",1990,2006
"Alain Daniel","Vandoeuvre-les-Nancy, INPL","Nantes",2006,1993
"Alain de Broca","Paris Est","Amiens",2008,1999
"Alain de Ryck","Paris 6","Toulouse, INPT",1994,2005
"Alain Dedieu","Montpellier 1","Universite Louis Pasteur (Strasbourg)",2014,1997
"Alain Drouet","Caen","Nancy 1",1985,2000
"Alain Dupuy","Paris 11","Bordeaux 3",2007,2015
"Alain Durand","Paris 6","Aix-Marseille 2",1998,1996
"Alain Fabre","Perpignan","Paris 11",1987,1996
"Alain Fayolle","Lyon 3","Grenoble 2",1996,2008
"Alain Forest","Saint-Etienne","Paris 7",1989,2003
"Alain Fouchard","Besancon","Universite Pierre Mendes France (Grenoble)",1987,2000
"Alain Francois-Heude","Paris 9","Lille 2",1988,1992
"Alain Furber","Angers","Lyon 1",1990,1994
"Alain Gagnaire","Lyon 1","Ecully, Ecole centrale de Lyon",1986,1993
"Alain Gauthier","Paris, ENMP","Lille 2",1999,2000
"Alain Gerard","Lille 2","Nancy 1",1994,1994
"Alain Girard","Nancy 1","Paris 5",1989,1988
"Alain Girard","Nancy 1","Paris 5",1989,1990
"Alain Glumineau","Nantes","Ecole centrale de Nantes",1992,2013
"Alain Gueiffier","Montpellier 1","Tours",1989,2012
"Alain Guillotin","Aix-Marseille 3","Toulon",1992,2017
"Alain Guyot","Paris 4","Lyon 1",1996,1995
"Alain Heduit","Universite Paris-Est Creteil Val de Marne (UPEC)","Universite Louis Pasteur (Strasbourg)",1989,2000
"Alain Jardy","Paris 6","Vandoeuvre-les-Nancy, INPL",1987,2006
"Alain Jean","Dijon","Nantes",1989,1986
"Alain Joblin","Lille 3","Artois",1989,2016
"Alain Jumeau","Paris 3","Paris 4",1987,1995
"Alain Juranville","Paris 4","Rennes 1",1999,2007
"Alain Kokosowski","Caen","Rouen",1985,1994
"Alain Labbe","Paris 10","Toulouse 2",1985,2003
"Alain Lancry","Lille 3","Amiens",1986,1997
"Alain Laquieze","Paris 2","Angers",1995,2006
"Alain Laurent","Universite Pierre Mendes France (Grenoble)","Clermont-Ferrand 2",1993,2003
"Alain Le Bail","Nantes","Nantes, Ecole nationale veterinaire",1990,2017
"Alain Lefebvre","Lille 1","Toulouse 2",1999,2002
"Alain Legrand","Orleans","Paris 5",1987,1995
"Alain Lemarechal","Poitiers","Universite Marc Bloch (Strasbourg)",1987,1999
"Alain Leroux","Rennes 1","Aix-Marseille 3",1989,1999
"Alain Lescure","Bordeaux 2","Strasbourg",1995,2014
"Alain Letourneau","Caen","Paris 11",2000,2012
"Alain Lhemery","Le Mans","Universite Paris-Saclay (ComUE)",1990,2017
"Alain Loret","Paris 9","Caen",1989,2004
"Alain Louveau","Paris 8","Paris 6",1987,1989
"Alain Maestrini","Brest","Paris 6",1999,2017
"Alain Malafosse","Montpellier 1","Montpellier 2",1991,1998
"Alain Mercier","Paris 4","Aix-Marseille 1",2001,2008
"Alain Merot","Lyon 3","Paris 4",2015,2015
"Alain Michalowicz","Paris 12","Universite Paris-Est Creteil Val de Marne (UPEC)",1990,1997
"Alain Michel","Paris 1","Paris 4",1993,1993
"Alain Monnereau","Paris 11","Bordeaux",2008,2017
"Alain Mons","Paris 5","Bordeaux 3",1986,2005
"Alain Moreau","Lyon 1","Montpellier 3",2013,2004
"Alain Morere","Toulouse 3","Montpellier 2",1992,2005
"Alain Mougniotte","Lyon 2","Lyon 1",1989,2009
"Alain Nicolas","Aix-Marseille 2","Ecully, Ecole centrale de Lyon",1990,1990
"Alain Nicolas","Aix-Marseille 2","Nancy 1",1990,1990
"Alain Noel","Paris 4","Universite de Lorraine",1999,2013
"Alain Norvez","Paris 5","Paris 1",1988,1994
"Alain Perrier","Aix-Marseille 2","Paris 6",1988,1999
"Alain Pessin","Universite Pierre Mendes France (Grenoble)","Grenoble 2",1988,1994
"Alain Pierrot","Paris 1","Paris 5",1993,2008
"Alain Pirotte","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 2",1994,2014
"Alain Plantec","Rennes 1","Brest",1999,2018
"Alain Pumir","Paris 6","Nice",1987,2001
"Alain Rassineux","Nancy 1","Compiegne",1995,2003
"Alain Renaud","Paris 1","Paris 4",2002,2008
"Alain Reynaud","Paris 11","Nantes",1991,1994
"Alain Ricard","Strasbourg 1","Bordeaux 3",1989,1989
"Alain Richard","Paris 3","Nancy 1",1998,1997
"ALAIN RIOU","Rennes 1","Lyon 1",1992,1994
"ALAIN ROBERT","Bordeaux 2","Toulouse 3",1988,1988
"Alain Roger Paul Bourgeat","Lyon 1","Saint-Etienne",1985,1992
"Alain Rouault","Paris 11","Versailles-St Quentin en Yvelines",1985,2008
"Alain Rouveret","Paris 7","Paris 8",1987,1992
"Alain Saint-Denis","Nancy 2","Dijon",1992,2007
"Alain Sand-Zantman","Paris 13","Lyon, Ecole normale superieure",1992,2008
"Alain Schiano","Bordeaux 2","Aix-Marseille 2",1997,1994
"Alain Schmitt","Paris 11","Compiegne",2002,1998
"Alain Sebille","Rennes 2","Paris 11",1989,2008
"Alain Sibille","Paris 7","Palaiseau, Ecole polytechnique",1985,2011
"Alain Suberchicot","Orleans","Clermont-Ferrand 2",1987,1997
"Alain Tanguy","Clermont-Ferrand 2","Caen",1993,1991
"Alain Thalineau","Nantes","Tours",1994,2011
"Alain Thomas","Toulouse 3","Vandoeuvre-les-Nancy, INPL",1988,1987
"Alain Trannoy","Rennes 1","Palaiseau, Ecole polytechnique",1986,2000
"Alain Trouve","Rouen","Paris 13",2006,2007
"Alain Vaillant","Paris 3","Montpellier 3",1985,2002
"Alain Varray","Montpellier 1","Montpellier",1990,2015
"Alain Vergnioux","Rennes 1","Caen",1987,2006
"Alain Vuillemin","Paris 4","Artois",1986,2003
"Alain Westphal","Universite Louis Pasteur (Strasbourg)","Nancy 1",1992,2001
"Alban Bouvier","Paris 4","Aix-Marseille",1991,2013
"Albane Saintenoy","Paris 7","Paris 11",1998,2015
"Albert David","Paris 9","Nantes",1988,1991
"Albert Hamm","Paris 7","Strasbourg 2",1988,1997
"Albert Hudlett","Universite Marc Bloch (Strasbourg)","Mulhouse",1988,1997
"Albert Piette","Paris 5","Paris 10",1987,2018
"Albert Sotto","Montpellier 1","Montpellier",1992,2017
"Albert Subrenat","Nantes","Nantes, Ecole des Mines",1999,2013
"Albert Tidu","Metz","Universite de Lorraine",1990,2016
"Alberto Baldisseri","Universite Savoie Mont Blanc","Paris 11",1990,2012
"Alberto Rosso","Paris 6","Paris 11",2002,2014
"Aldo Napoli","Nice","Paris, ENMP",2001,2008
"Aldo Sottolichio","Bordeaux 1","Bordeaux",1999,2019
"Alejandro Perez Luna","Paris 5","Paris 6",2003,2015
"Alessandro Boselli","Paris 7","Aix-Marseille",1993,2012
"Alessandro Correa Victorino","Nice","Compiegne",2002,2015
"Alexander Schnell","Universite Paris-Est Creteil Val de Marne (UPEC)","Toulouse 2",2001,2011
"Alexandra Bertron","Toulouse, INSA","Toulouse 3",2004,2015
"Alexandre Alcais","Paris 11","Paris 5",2002,2014
"Alexandre Allauzen","Paris 11","Universite Paris-Saclay (ComUE)",2003,2018
"Alexandre Benani","Nancy 1","Bourgogne Franche-Comte",2003,2017
"Alexandre David","Aix-Marseille 2","Montpellier",2006,2017
"Alexandre de La Taille","Paris 11","Paris Est",2000,2009
"Alexandre Dumont","Paris 1","Paris 6",2016,2016
"Alexandre Ern","Palaiseau, Ecole polytechnique","Ecole nationale des ponts et chaussees (France)",1994,2002
"Alexandre Favereaux","Bordeaux 2","Bordeaux",2003,2017
"Alexandre Fille","Toulouse 3","Montpellier 1",1991,1998
"Alexandre Gady","Tours","Paris 4",2001,2013
"Alexandre Garcia","Universite Paris-Saclay (ComUE)","Paris, CNAM",2019,2019
"Alexandre Gohin","Paris 1","Rennes 1",1998,2010
"Alexandre Krupa","Vandoeuvre-les-Nancy, INPL","Rennes, INSA",2003,2016
"Alexandre Maitrot de La Motte","Paris 5","Paris Est",2004,2010
"Alexandre Mallard","Paris, ENMP","Paris Sciences et Lettres",1996,2016
"Alexandre Mebazaa","Strasbourg 1","Paris 7",1989,2013
"Alexandre Pons","Bordeaux 2","Bordeaux",2006,2015
"Alexandre Valance","Paris 7","Rennes 1",1993,2010
"Alexandre Zabi","Paris 7","Paris 11",2004,2013
"Alexis Beakou","Paris, ENSAM","Clermont-Ferrand 2",1991,2010
"Alexis Bonnecaze","Nice","Aix-Marseille 2",1995,2011
"Alexis Bozorg-Grayeli","Paris 7","Paris 6",2000,2011
