"Universite2","Universite1","Nom","Annee1","Annee2","Lat1","Long1","Lat2","Long2"
"Aix-Marseille","Paris 7","Chantal Zheng",1993,2012,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Bordeaux 4","Thierry Millet",1996,2015,44.809966,-0.596578,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Vincent Vidal",2007,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Olivier Vauquelin",1992,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Jean-Charles Lievens",2000,2016,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Fabrice Hubaut",1999,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Fatima Chnane-Davin",2005,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 5","Frederic Vely",1993,2017,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Lyon 1","Frederique Magdinier",1999,2012,45.77962,4.86518,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Muriel Giacopelli",1993,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 4","Walter Bruyere-Ostells",2005,2018,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Isabelle Renaudet",1995,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Patrice Roll",2005,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Francois Romagne",1996,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Hugo Barbier",2009,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Franck Fregosi",1994,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Rennes 1","Nicolas Dutertre",1998,2015,48.11585,-1.67298,43.2935,5.35781
"Aix-Marseille","Paris 7","Alain Bravaix",1991,2012,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Montpellier 3","Patrick Rateau",1995,2013,43.63279,3.86924,43.2935,5.35781
"Aix-Marseille","Paris 2","Yann Kerbrat",2001,2017,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Christophe Traini",1998,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Michel Drancourt",1989,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Lille 1","Patrick Arnaud",1989,2017,50.6314,3.07497,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Cedric Raoul",2002,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Frederic Rouviere",2004,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Nathalie Fabbe-Costes",1989,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 5","Pierre-Yves Gilles",1993,2015,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Lyon 2","Joanny Moulin",1993,2013,45.7492,4.83714,43.2935,5.35781
"Aix-Marseille","Paris 4","Alban Bouvier",1991,2013,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Thierry Ripoll",1993,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Christian Tamburini",2002,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Daniel Olive",1990,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Robert Pujade",1998,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 6","Nicolas Roche",2011,2012,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Paris 11","Jerome Wenger",2004,2016,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Victor Chepoi",1997,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 11","Valerie Michel",2003,2017,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Delphine Lacaze",2001,2016,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 2","Gwendoline Lardeux",1999,2016,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille","Tours","Christiane Raynaud",1989,2014,47.38376,0.67367,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Emmanuelle Bouveret",1998,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Monique Sabaty",1993,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Anne Leborgne",1992,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Marjolaine Chatoney",2003,2016,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Claude Fiore",1987,2016,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Boris Bartikowski",2001,2012,43.2935,5.35781,43.2935,5.35781
