Académie1,Académie2,Nom,long1,lat1,long2,lat2
Aix-Marseille,Aix-Marseille,193,193,193,193,193
Aix-Marseille,Amiens,4,4,4,4,4
Aix-Marseille,Besançon,3,3,3,3,3
Aix-Marseille,Bordeaux,19,19,19,19,19
Aix-Marseille,Caen,4,4,4,4,4
Aix-Marseille,Clermont-Ferrand,6,6,6,6,6
Aix-Marseille,Créteil,3,3,3,3,3
Aix-Marseille,Dijon,6,6,6,6,6
Aix-Marseille,Grenoble,2,2,2,2,2
Aix-Marseille,Lille,6,6,6,6,6
Aix-Marseille,Limoges,1,1,1,1,1
Aix-Marseille,Lyon,25,25,25,25,25
Aix-Marseille,Montpellier,32,32,32,32,32
Aix-Marseille,Nancy-Metz,9,9,9,9,9
Aix-Marseille,Nantes,14,14,14,14,14
Aix-Marseille,Nice,26,26,26,26,26
Aix-Marseille,Orléans-Tours,2,2,2,2,2
Aix-Marseille,Paris,50,50,50,50,50
Aix-Marseille,Poitiers,7,7,7,7,7
Aix-Marseille,Rennes,9,9,9,9,9
Aix-Marseille,Rouen,2,2,2,2,2
Aix-Marseille,Strasbourg,19,19,19,19,19
Aix-Marseille,Toulouse,20,20,20,20,20
Aix-Marseille,Versailles,34,34,34,34,34
Amiens,Aix-Marseille,3,3,3,3,3
Amiens,Amiens,34,34,34,34,34
Amiens,Besançon,2,2,2,2,2
Amiens,Bordeaux,4,4,4,4,4
Amiens,Caen,3,3,3,3,3
Amiens,Créteil,4,4,4,4,4
Amiens,Dijon,2,2,2,2,2
Amiens,Lille,5,5,5,5,5
Amiens,Limoges,1,1,1,1,1
Amiens,Lyon,7,7,7,7,7
Amiens,Montpellier,2,2,2,2,2
Amiens,Nancy-Metz,5,5,5,5,5
Amiens,Nantes,5,5,5,5,5
Amiens,Nice,3,3,3,3,3
Amiens,Orléans-Tours,1,1,1,1,1
Amiens,Paris,14,14,14,14,14
Amiens,Poitiers,2,2,2,2,2
Amiens,Reims,4,4,4,4,4
Amiens,Rennes,3,3,3,3,3
Amiens,Rouen,1,1,1,1,1
Amiens,Strasbourg,3,3,3,3,3
Amiens,Toulouse,5,5,5,5,5
Amiens,Versailles,11,11,11,11,11
Besançon,Aix-Marseille,3,3,3,3,3
Besançon,Besançon,25,25,25,25,25
Besançon,Bordeaux,5,5,5,5,5
Besançon,Caen,1,1,1,1,1
Besançon,Clermont-Ferrand,3,3,3,3,3
Besançon,Créteil,2,2,2,2,2
Besançon,Dijon,8,8,8,8,8
Besançon,Grenoble,3,3,3,3,3
Besançon,Lille,6,6,6,6,6
Besançon,Limoges,2,2,2,2,2
Besançon,Lyon,6,6,6,6,6
Besançon,Montpellier,5,5,5,5,5
